iter	Passed	Remaining
163	855	4362
164	860	4353
165	861	4328
166	865	4317
167	872	4322
168	874	4300
169	878	4290
170	888	4306
171	891	4292
172	893	4272
173	897	4258
174	899	4238
175	902	4226
176	908	4222
177	911	4207
178	913	4190
179	916	4175
180	920	4162
181	925	4158
182	929	4149
183	934	4146
184	936	4125
185	941	4118
186	943	4102
187	946	4086
188	952	4087
189	956	4076
190	966	4095
191	969	4081
192	975	4079
193	977	4062
194	987	4076
195	992	4070
196	1002	4087
197	1003	4066
198	1007	4055
199	1017	4071
200	1023	4069
201	1025	4049
202	1026	4028
203	1027	4008
204	1034	4011
205	1035	3991
206	1039	3983
207	1043	3974
208	1046	3959
209	1052	3960
210	1057	3955
211	1067	3968
212	1072	3963
213	1077	3956
214	1083	3955
215	1087	3947
216	1088	3927
217	1094	3927
218	1095	3907
219	1100	3901
220	1102	3885
221	1106	3878
222	1114	3884
223	1124	3894
224	1125	3876
225	1134	3886
226	1136	3869
227	1137	3850
228	1141	3844
229	1143	3826
230	1146	3816
231	1147	3798
232	1151	3789
233	1152	3771
234	1153	3755
235	1155	3740
236	1156	3724
237	1158	3708
238	1165	3711
239	1170	3705
240	1172	3692
241	1173	3676
242	1175	3661
243	1177	3647
244	1178	3632
245	1183	3628
246	1184	3612
247	1189	3606
248	1190	3590
249	1191	3575
250	1202	3589
251	1204	3575
252	1209	3571
253	1210	3555
254	1219	3563
255	1223	3554
256	1224	3539
257	1227	3529
258	1228	3515
259	1232	3507
260	1233	3492
261	1241	3496
262	1243	3484
263	1248	3481
264	1252	3473
265	1256	3466
266	1257	3453
267	1260	3441
268	1264	3436
269	1266	3425
270	1271	3420
271	1275	3413
272	1281	3412
273	1286	3409
274	1291	3406
275	1294	3395
276	1298	3389
277	1302	3383
278	1309	3385
279	1311	3372
280	1315	3366
281	1324	3371
282	1325	3357
283	1337	3372
284	1340	3362
285	1344	3356
286	1349	3351
287	1352	3343
288	1353	3328
289	1356	3320
290	1360	3313
291	1362	3304
292	1365	3294
293	1369	3289
294	1372	3279
295	1373	3267
296	1383	3275
297	1392	3280
298	1400	3283
299	1402	3272
300	1409	3273
301	1414	3268
302	1420	3267
303	1427	3267
304	1441	3285
305	1443	3273
306	1453	3281
307	1462	3286
308	1463	3273
309	1465	3261
310	1469	3256
311	1475	3253
312	1484	3257
313	1485	3245
314	1492	3244
315	1501	3250
316	1502	3237
317	1503	3225
318	1505	3213
319	1511	3212
320	1513	3200
321	1515	3191
322	1519	3183
323	1521	3173
324	1525	3168
325	1526	3155
326	1528	3144
327	1530	3136
328	1531	3123
329	1533	3112
330	1534	3102
331	1536	3091
332	1537	3079
333	1538	3068
334	1540	3057
335	1542	3048
336	1545	3040
337	1548	3032
338	1551	3025
339	1558	3025
340	1560	3016
341	1564	3009
342	1567	3002
343	1572	2998
344	1576	2992
345	1580	2987
346	1583	2980
347	1587	2974
348	1590	2966
349	1596	2964
350	1601	2962
351	1605	2955
352	1608	2947
353	1611	2941
354	1613	2930
355	1615	2923
356	1623	2923
357	1626	2916
358	1628	2908
359	1632	2901
360	1634	2893
361	1640	2891
362	1643	2884
363	1647	2877
364	1651	2873
365	1653	2864
366	1655	2855
367	1662	2855
368	1665	2848
369	1669	2843
370	1673	2837
371	1678	2834
372	1682	2828
373	1686	2823
374	1689	2816
375	1692	2808
376	1695	2801
377	1699	2796
378	1708	2798
379	1709	2789
380	1714	2785
381	1716	2777
382	1718	2767
383	1727	2771
384	1732	2767
385	1736	2761
386	1745	2764
387	1747	2756
388	1750	2750
389	1757	2749
390	1761	2743
391	1767	2741
392	1769	2732
393	1772	2725
394	1775	2719
395	1781	2717
396	1786	2713
397	1789	2706
398	1793	2701
399	1797	2695
400	1801	2691
401	1806	2687
402	1810	2682
403	1813	2675
404	1817	2669
405	1821	2664
406	1827	2662
407	1831	2657
408	1838	2656
409	1840	2647
410	1847	2647
411	1853	2645
412	1856	2638
413	1859	2631
414	1861	2624
415	1869	2623
416	1874	2620
417	1879	2616
418	1880	2607
419	1881	2598
420	1886	2594
421	1891	2591
422	1895	2585
423	1900	2581
424	1902	2573
425	1908	2572
426	1911	2565
427	1915	2559
428	1918	2553
429	1926	2553
430	1934	2554
431	1939	2550
432	1941	2542
433	1944	2535
434	1947	2529
435	1953	2526
436	1954	2518
437	1963	2519
438	1968	2515
439	1969	2507
440	1973	2502
441	1976	2495
442	1978	2487
443	1980	2479
444	1985	2476
445	1987	2468
446	1993	2465
447	2000	2464
448	2005	2461
449	2013	2461
450	2016	2454
451	2018	2447
452	2024	2444
453	2028	2439
454	2035	2438
455	2037	2431
456	2039	2422
457	2043	2418
458	2050	2416
459	2053	2410
460	2057	2405
461	2061	2401
462	2068	2398
463	2079	2401
464	2089	2404
465	2094	2400
466	2102	2399
467	2105	2393
468	2107	2386
469	2110	2380
470	2116	2376
471	2121	2373
472	2128	2371
473	2137	2371
474	2138	2364
475	2141	2357
476	2146	2353
477	2149	2346
478	2151	2340
479	2154	2334
480	2160	2331
481	2163	2325
482	2165	2318
483	2175	2319
484	2179	2314
485	2182	2308
486	2187	2303
487	2196	2304
488	2198	2297
489	2202	2292
490	2210	2291
491	2212	2284
492	2221	2285
493	2225	2279
494	2231	2276
495	2238	2274
496	2239	2266
497	2243	2261
498	2251	2260
499	2254	2254
500	2261	2252
501	2265	2247
502	2269	2242
503	2273	2236
504	2275	2230
505	2279	2225
506	2288	2225
507	2292	2220
508	2295	2214
509	2300	2210
510	2307	2207
511	2309	2200
512	2313	2196
513	2315	2189
514	2320	2185
515	2331	2187
516	2338	2184
517	2340	2177
518	2343	2171
519	2347	2166
520	2352	2163
521	2355	2156
522	2356	2149
523	2359	2143
524	2366	2140
525	2368	2134
526	2371	2128
527	2377	2125
528	2379	2118
529	2380	2111
530	2381	2103
531	2383	2096
532	2389	2093
533	2391	2086
534	2392	2079
535	2400	2078
536	2407	2075
537	2408	2068
538	2409	2061
539	2411	2053
540	2412	2046
541	2413	2039
542	2415	2032
543	2416	2025
544	2417	2018
545	2418	2011
546	2420	2004
547	2421	1997
548	2423	1990
549	2424	1983
550	2426	1977
551	2429	1971
552	2430	1964
553	2432	1958
554	2433	1951
555	2436	1945
556	2437	1938
557	2439	1931
558	2441	1925
559	2443	1920
560	2445	1913
561	2447	1907
562	2450	1901
563	2451	1895
564	2455	1890
565	2457	1884
566	2458	1877
567	2460	1871
568	2461	1864
569	2463	1858
570	2466	1852
571	2467	1846
572	2469	1839
573	2470	1833
574	2471	1826
575	2472	1820
576	2473	1813
577	2474	1806
578	2476	1800
579	2477	1793
580	2478	1787
581	2480	1781
582	2481	1775
583	2482	1768
584	2484	1762
585	2485	1756
586	2487	1749
587	2488	1743
588	2490	1737
589	2492	1731
590	2493	1725
591	2495	1719
592	2496	1713
593	2499	1708
594	2501	1702
595	2507	1699
596	2508	1693
597	2515	1690
598	2517	1685
599	2518	1678
600	2520	1673
601	2521	1666
602	2523	1661
603	2526	1656
604	2527	1650
605	2529	1644
606	2531	1639
607	2533	1633
608	2535	1627
609	2536	1621
610	2538	1616
611	2539	1610
612	2541	1604
613	2542	1598
614	2543	1592
615	2544	1586
616	2546	1580
617	2547	1574
618	2549	1569
619	2550	1563
620	2551	1557
621	2553	1551
622	2555	1546
623	2557	1540
624	2558	1535
625	2563	1531
626	2564	1525
627	2570	1522
628	2579	1521
629	2583	1517
630	2583	1511
631	2585	1505
632	2586	1499
633	2588	1494
634	2590	1488
635	2591	1483
636	2593	1477
637	2595	1472
638	2597	1467
639	2599	1462
640	2602	1457
641	2603	1451
642	2605	1446
643	2606	1441
644	2608	1435
645	2610	1430
646	2611	1424
647	2612	1419
648	2615	1414
649	2616	1408
650	2617	1403
651	2618	1397
652	2620	1392
653	2623	1387
654	2624	1382
655	2632	1380
656	2637	1377
657	2644	1374
658	2647	1370
659	2657	1368
660	2659	1364
661	2668	1362
662	2669	1356
663	2676	1354
664	2681	1351
665	2683	1345
666	2689	1342
667	2695	1339
668	2700	1336
669	2706	1332
670	2708	1328
671	2715	1325
672	2719	1321
673	2723	1317
674	2729	1314
675	2739	1313
676	2747	1311
677	2754	1308
678	2758	1304
679	2759	1298
680	2767	1296
681	2774	1293
682	2779	1289
683	2787	1287
684	2791	1283
685	2795	1279
686	2801	1276
687	2806	1272
688	2810	1268
689	2816	1265
690	2819	1260
691	2825	1257
692	2829	1253
693	2839	1251
694	2845	1248
695	2851	1245
696	2858	1242
697	2864	1239
698	2867	1234
699	2875	1232
700	2879	1228
701	2888	1226
702	2894	1222
703	2901	1219
704	2903	1214
705	2908	1211
706	2914	1207
707	2918	1203
708	2921	1198
709	2929	1196
710	2931	1191
711	2940	1189
712	2948	1186
713	2954	1183
714	2960	1180
715	2968	1177
716	2972	1173
717	2980	1170
718	2987	1167
719	2992	1163
720	3002	1161
721	3004	1156
722	3017	1156
723	3019	1151
724	3028	1148
725	3030	1143
726	3032	1138
727	3039	1135
728	3042	1130
729	3049	1127
730	3050	1122
731	3063	1121
732	3067	1117
733	3075	1114
734	3080	1110
735	3084	1106
736	3088	1102
737	3095	1098
738	3100	1094
739	3104	1090
740	3110	1087
741	3116	1083
742	3121	1079
743	3124	1075
744	3128	1070
745	3132	1066
746	3138	1062
747	3140	1058
748	3147	1054
749	3151	1050
750	3155	1046
751	3158	1041
752	3163	1037
753	3169	1034
754	3172	1029
755	3175	1024
756	3185	1022
757	3188	1018
758	3195	1014
759	3201	1010
760	3206	1007
761	3210	1002
762	3211	997
763	3219	994
764	3222	990
765	3228	986
766	3229	981
767	3232	976
768	3235	971
769	3241	968
770	3246	964
771	3247	959
772	3252	955
773	3256	950
774	3262	947
775	3266	942
776	3271	938
777	3277	935
778	3282	931
779	3291	928
780	3293	923
781	3299	919
782	3303	915
783	3308	911
784	3311	906
785	3317	903
786	3320	898
787	3334	897
788	3336	892
789	3342	888
790	3346	884
791	3350	879
792	3353	875
793	3359	871
794	3365	867
795	3370	863
796	3376	860
797	3380	855
798	3385	851
799	3393	848
800	3397	843
801	3398	839
802	3401	834
803	3407	830
804	3417	827
805	3423	823
806	3427	819
807	3431	815
808	3435	810
809	3438	806
810	3442	802
811	3446	797
812	3452	794
813	3455	789
814	3461	785
815	3466	781
816	3470	777
817	3471	772
818	3476	768
819	3483	764
820	3493	761
821	3499	757
822	3503	753
823	3508	749
824	3510	744
825	3522	741
826	3535	739
827	3541	735
828	3542	730
829	3551	727
830	3553	722
831	3554	717
832	3556	713
833	3560	708
834	3562	704
835	3564	699
836	3567	694
837	3570	690
838	3577	686
839	3579	681
840	3581	677
841	3585	672
842	3588	668
843	3591	663
844	3593	659
845	3600	655
846	3603	650
847	3605	646
848	3608	641
849	3612	637
850	3615	633
851	3619	628
852	3631	625
853	3632	621
854	3634	616
855	3635	611
856	3637	606
857	3638	602
858	3640	597
859	3641	592
860	3644	588
861	3645	583
862	3647	578
863	3649	574
864	3650	569
865	3653	565
866	3656	560
867	3658	556
868	3660	551
869	3663	547
870	3664	542
871	3666	538
872	3669	533
873	3673	529
874	3677	525
875	3683	521
876	3685	516
877	3689	512
878	3693	508
879	3697	504
880	3700	499
881	3703	495
882	3706	491
883	3708	486
884	3712	482
885	3722	478
886	3724	474
887	3727	470
888	3734	466
889	3738	462
890	3739	457
891	3743	453
892	3745	448
893	3747	444
894	3749	439
895	3752	435
896	3755	431
897	3757	426
898	3760	422
899	3762	418
900	3765	413
901	3766	409
902	3769	404
903	3773	400
904	3777	396
905	3784	392
906	3785	388
907	3794	384
908	3798	380
909	3804	376
910	3809	372
911	3810	367
912	3816	363
913	3823	359
914	3827	355
915	3833	351
916	3834	347
917	3840	343
918	3842	338
919	3846	334
920	3853	330
921	3854	326
922	3866	322
923	3867	318
924	3868	313
925	3872	309
926	3874	305
927	3876	300
928	3878	296
929	3880	292
930	3882	287
931	3884	283
932	3885	279
933	3888	274
934	3888	270
935	3891	266
936	3898	262
937	3903	258
938	3904	253
939	3910	249
940	3911	245
941	3916	241
942	3923	237
943	3925	232
944	3934	228
945	3935	224
946	3945	220
947	3949	216
948	3961	212
949	3968	208
950	3970	204
951	3977	200
952	3980	196
953	3986	192
954	3990	188
955	3996	183
956	4000	179
957	4004	175
958	4005	171
959	4009	167
960	4023	163
961	4032	159
962	4033	154
963	4040	150
964	4042	146
965	4043	142
966	4050	138
967	4056	134
968	4062	129
969	4066	125
970	4072	121
971	4073	117
972	4077	113
973	4087	109
974	4088	104
975	4104	100
976	4110	96
977	4113	92
978	4118	88
979	4123	84
980	4126	79
981	4130	75
982	4138	71
983	4140	67
984	4145	63
985	4149	58
986	4150	54
987	4152	50
988	4166	46
989	4168	42
990	4171	37
991	4181	33
992	4182	29
993	4186	25
994	4189	21
995	4190	16
996	4191	12
997	4192	8
998	4197	4
999	4198	0
